JMENO,POHLAVI,EKVIVALENC,PAD2,PAD3,PAD4,PAD5,PAD6,PAD7,CLOVEK,ELF,TRPASLIK,HOBIT,KUDUK,BARBAR,KROLL,VALECNIK,HRANICAR,ALCHYMISTA,KOUZELNIK,ZLODEJ
Hrut,M,,Hruta,Hrutovi,Hruta,Hrute,Hrutovi,Hrutem,1,0,1,0,1,1,1,1,1,1,1,1
Hrutvag,M,,Hrutvaga,Hrutvagovi,Hrutvaga,Hrutvagu,Hrutvagovi,Hrutvagem,1,0,1,0,0,1,1,1,1,1,1,1
Hruzoslav,M,,Hruzoslava,Hruzuslavovi,Hruzoslava,Hruzoslave,Hruzoslavovi,Hruzoslavem,1,0,1,1,0,1,1,1,1,1,1,1
Hruzoslava,F,,Hruzoslavy,Hruzoslave,Hruzoslavu,Hruzoslavo,Hruzoslave,Hruzoslavou,1,0,1,1,0,1,1,1,1,1,1,1
HruzymĄr,M,,HruzymĄra,HruzymĄrovi,HruzymĄra,HruzymĄre,HruzymĄrovi,HruzymĄrem,1,0,0,1,0,1,0,1,1,1,1,1
HruzymĄra,F,,HruzymĄry,HruzymĄre,HruzymĄru,HruzymĄro,HruzymĄre,HruzymĄrou,1,0,0,1,0,1,0,1,1,1,1,1
HrĄbecek,M,,HrĄbecka,HrĄbeckovi,HrĄbecka,HrĄbecku,HrĄbeckovi,HrĄbeckem,1,1,0,1,0,1,0,1,1,1,1,1
HrmĄcĄ Buvol,M,,HrmĄcĄho Buvola,HrmĄcĄmu Buvolovi,HrmĄcĄho Buvola,HrmĄcĄ Buvole,HrmĄcĄm Buvolovi,HrmĄcĄm Buvolem,1,0,0,0,0,1,1,1,1,1,1,1
Huam,M,,Huama,Huamovi,Huama,Huame,Huamovi,Huamem,1,0,1,0,1,1,1,1,1,1,1,1
Huan,M,,Huana,Huanovi,Huana,Huane,Huanovi,Huanem,1,0,1,0,1,1,1,1,1,1,1,1
Huaram,M,,Huarama,Huaramovi,Huarama,Huarame,Huaramovi,Huaramem,1,1,0,0,0,1,1,1,1,1,1,1
Hubak,M,,Hubaka,Hubakovi,Hubaka,Hubaku,Hubakovi,Hubakem,1,0,1,0,1,1,1,1,1,1,1,1
Hubert,M,,Huberta,Hubertovi,Huberta,Huberte,Hubertovi,Hubertem,1,0,0,1,1,1,1,1,1,1,1,1
Hublin,M,,Hublina,Hublinovi,Hublina,Hubline,Hublinovi,Hublinem,1,0,1,0,1,1,0,1,1,1,1,1
Hudra,M,,Hudry,Hudrovi,Hudru,Hudro,Hudrovi,Hudrou,1,0,1,1,1,1,1,1,1,1,1,1
Hugh,M,563.0,Hugha,Hughovi,Hugha,Hughu,Hughovi,Hughem,1,0,0,0,0,1,0,1,1,1,1,1
Hughes,M,563.0,Hughese,Hughesovi,Hughese,Hughesi,Hughesovi,Hughesem,1,0,0,0,0,1,0,1,1,1,1,1
Hugo,M,563.0,Huga,Hugovi,Huga,Hugo,Hoguvi,Hugem,1,0,0,1,1,1,1,1,1,1,1,1
Hugon,M,563.0,Hugona,Hugonovi,Hugona,Hugone,Hugonovi,Hugonem,1,0,0,0,1,0,0,1,1,1,1,1
Hulheimer,M,2621.0,Hulheimera,Hulheimerovi,Hulheimera,Hulheimere,Hulheimerovi,Hulheimerem,1,0,1,0,0,1,0,1,1,1,1,1
Hull,M,,Hulla,Hullovi,Hulla,Hulle,Hullovi,Hullem,1,0,1,0,0,1,1,1,1,1,1,1
Hullheimer,M,2621.0,Hullheimera,Hullheimerovi,Hullheimera,Hullheimere,Hullheimerovi,Hullheimerem,1,0,1,0,0,1,0,1,1,1,1,1
Hulrik,M,,Hulrika,Hulrikovi,Hulrika,Hulriku,Hulrikovi,Hulrikem,1,0,1,1,1,1,0,1,1,1,1,1
Huma,F,,Humy,Hume,Humu,Humo,Hume,Humou,1,0,1,0,0,1,1,1,1,1,1,1
Huma,M,,Humy,Humovi,Humu,Humo,Humovi,Humou,1,0,1,0,0,1,1,1,1,1,1,1
Humar,M,,Humara,Humarovi,Humara,Humare,Humarovi,Humarem,1,0,0,0,1,1,1,1,1,1,1,1
Humbold,M,,Humbolda,Humboldovi,Humbolda,Humbolde,Humboldovi,Humboldem,1,0,1,0,1,1,0,1,1,1,1,1
Humenor,M,,Humenora,Humenorovi,Humenora,Humenore,Humenorovi,Humenorem,1,0,1,0,0,1,0,1,1,1,1,1
Humenora,F,,Humenory,Humenore,Humenoru,Humenoro,Humenore,Humenorou,1,0,1,0,0,1,0,1,1,1,1,1
Humin,M,,Humina,Huminovi,Humina,Humine,Huminovi,Huminem,1,0,1,0,1,1,1,1,1,1,1,1
Hummin,M,,Hummina,Humminovi,Hummina,Hummine,Humminovi,Humminem,1,0,1,0,0,1,1,1,1,1,1,1
Hun,M,,Huna,Hunovi,Huna,Hune,Hunovi,Hunem,1,0,1,1,1,1,1,1,1,1,1,1
Hunt,M,,Hunta,Huntovi,Hunta,Hunte,Huntovi,Huntem,1,0,1,0,1,1,1,1,1,1,1,1
Hunter,M,,Huntera,Hunterovi,Huntera,Huntere,Hunterovi,Hunterem,1,0,0,0,0,1,0,1,1,1,1,1
Hunthor,M,,Hunthora,Hunthorovi,Hunthora,Hunthore,Hunthorovi,Hunthorem,1,0,1,0,1,1,0,1,1,1,1,1
Huntor,M,,Huntora,Huntorovi,Huntora,Huntore,Huntorovi,Huntorem,1,0,0,1,1,1,0,1,1,1,1,1
Huon,M,,Huona,Huonovi,Huona,Huone,Huonovi,Huonem,1,0,1,0,1,1,1,1,1,1,1,1
Huor,M,,Huora,Huorovi,Huora,Huore,Huorovi,Huorem,1,0,1,0,0,1,1,1,1,1,1,1
Huorn,M,,Huorna,Huornovi,Huorna,Huorne,Huornovi,Huornem,1,0,1,0,0,1,0,1,1,1,1,1
Hurik n,M,,Hurik na,Hurik novi,Hurik na,Hurik ne,Hurik novi,Hurik nem,1,0,1,0,1,1,1,1,1,1,1,1
HŁrin,F,,HŁrin,HŁrin,HŁrin,HŁrin,HŁrin,HŁrin,0,1,1,0,0,0,0,1,1,1,1,1
HŁrin,M,,HŁrina,HŁrinovi,HŁrina,HŁrine,HŁrinovi,HŁrinem,0,1,1,0,0,1,0,1,1,1,1,1
Hur˘n,M,,Hur˘na,Hur˘novi,Hur˘na,Hur˘ne,Hur˘novi,Hur˘nem,1,0,1,0,0,1,0,1,1,1,1,1
Hurt,M,,Hurta,Hurtovi,Hurta,Hurte,Hurtovi,Hurtem,1,0,1,0,1,1,1,1,1,1,1,1
Hus,M,,Huse,Husovi,Huse,Husi,Husovi,Husem,1,0,0,0,1,1,1,1,1,1,1,1
Husam,M,,Husama,Husamovi,Husama,Husame,Husamovi,Husamem,1,0,1,0,1,1,1,1,1,1,1,1
Hutch,M,,Hutche,Hutchovi,Hutche,Hutchi,Hutchovi,Hutchem,1,0,1,0,0,1,0,1,1,1,1,1
Hvezda,F,564.0,Hvezdy,Hvezde,Hvezdu,Hvezdo,Hvezde,Hvezdou,0,1,0,0,0,0,0,1,1,1,1,1
Hvezdicka,F,564.0,Hvezdicka,Hvezdicce,Hvezdicku,Hvezdicko,Hvezdicce,Hvezdickou,0,0,0,1,0,0,0,1,1,1,1,1
Hvezdomil,M,,Hvezdomila,Hvezdomilovi,Hvezdomila,Hvezdomile,Hvezdomilovi,Hvezdomilem,1,1,0,1,1,1,0,1,1,1,1,1
Hvezdomila,F,1848.0,Hvezdomily,Hvezdomile,Hvezdomilu,Hvezdomilo,Hvezdomile,Hvezdomilou,1,1,0,1,1,1,0,1,1,1,1,1
Hvezdomilka,F,1848.0,Hvezdomilky,Hvezdomilce,Hvezdomilku,Hvezdomilko,Hvezdomilce,Hvezdomilkou,1,1,0,1,1,1,0,1,1,1,1,1
HvezdomĄr,M,,HvezdomĄra,HvezdomĄrovi,HvezdomĄra,HvezdomĄre,HvezdomĄrovi,HvezdomĄrem,1,1,0,1,1,1,0,1,1,1,1,1
HvezdomĄra,F,,HvezdomĄry,HvezdomĄre,HvezdomĄru,HvezdomĄro,HvezdomĄre,HvezdomĄrou,1,1,0,1,1,1,0,1,1,1,1,1
Hvezdoslav,M,,Hvezdoslava,Hvezdoslavovi,Hvezdoslava,Hvezdoslave,Hvezdoslavovi,Hvezdoslavem,1,1,0,1,1,1,0,1,1,1,1,1
Hvezdoslava,F,,Hvezdoslavy,Hvezdoslave,Hvezdoslavu,Hvezdoslavo,Hvezdoslave,Hvezdoslavou,1,1,0,1,1,1,0,1,1,1,1,1
Hvezdosvit,M,,Hvezdosvita,Hvezdosvitovi,Hvezdosvita,Hvezdosvite,Hvezdosvitovi,Hvezdosvitem,0,1,0,1,0,0,0,1,1,1,1,1
HvĄzd,M,,HvĄzda,HvĄzdovi,HvĄzda,HvĄzde,HvĄzdovi,HvĄzdem,0,0,0,0,0,1,1,1,1,1,1,1
Hyarmentir,M,1891.0,Hyarmentira,Hyarmentirovi,Hyarmentira,Hyarmentire,Hyarmentirovi,Hyarmentirem,0,1,1,0,0,1,0,1,1,1,1,1
HyarmentĄr,M,1891.0,HyarmentĄra,HyarmentĄrovi,HyarmentĄra,HyarmentĄre,HyarmentĄrovi,HyarmentĄrem,0,1,1,0,0,1,0,1,1,1,1,1
Hydra,F,,Hydry,Hydre,Hydru,Hydro,Hydre,Hydrou,0,0,0,0,0,1,1,1,1,1,1,1
Hydra,M,,Hydry,Hydrovi,Hydru,Hydro,Hydrovi,Hydrou,1,0,0,0,0,1,1,1,1,1,1,1
Hydros,M,,Hydrose,Hydrosovi,Hydrose,Hydrosi,Hydrosovi,Hydrosem,1,1,1,0,1,1,0,1,1,1,1,1
Hyl s,M,,Hyl se,Hyl sovi,Hyl se,Hyl si,Hyl sovi,Hyl sem,1,1,0,0,0,0,0,1,1,1,1,1
Hylos,M,,Hyla,Hylovi,Hyla,Hyle,Hylovi,Hylem,1,1,0,0,0,0,0,1,1,1,1,1
Hyperion,M,,Hyperiona,Hyperionovi,Hyperiona,Hyperione,Hyperionovi,Hyperionem,1,1,0,0,0,1,0,1,1,1,1,1
Hypnos,M,,Hypna,Hypnovi,Hypna,Hypne,Hypnovi,Hypnem,1,1,0,0,0,0,0,1,1,1,1,1
Hypn˘za,F,,Hypn˘zy,Hypn˘ze,Hypn˘zu,Hypn˘zo,Hypn˘ze,Hypn˘zou,0,1,0,1,0,0,0,1,1,1,1,1
Hypolita,F,565.0,Hypolity,Hypolite,Hypolitu,Hypolito,Hylopite,Hypolitou,1,1,0,0,0,1,0,1,1,1,1,1
Hypolit,F,565.0,Hypolit,Hypolit,Hypolit,Hypolit,Hypolit,Hypolit,1,1,0,0,0,0,0,1,1,1,1,1
Hyrul,M,,Hyrula,Hyrulovi,Hyrula,Hyrule,Hyrulovi,Hyrulem,1,0,1,0,0,1,0,1,1,1,1,1
Iae,F,566.0,Iae,Iae,Iae,Iae,Iae,Iae,1,1,0,0,0,1,0,1,1,1,1,1
Iai,F,566.0,Iai,Iai,Iai,Iai,Iai,Iai,0,1,0,0,0,0,0,1,1,1,1,1
Iaia,F,566.0,Iaie,Iaie,Iaiu,Iaio,Iaie,Iaiou,1,1,0,0,0,0,0,1,1,1,1,1
Ian,M,596.0,Iana,Ianovi,Iana,Iane,Ianovi,Ianem,1,0,0,0,0,1,0,1,1,1,1,1
Iana,F,597.0,Iany,Iane,Ianu,Iano,Iane,Ianou,1,0,0,0,0,1,0,1,1,1,1,1
Iant,M,,Ianta,Iantovi,Ianta,Iante,Iantovi,Iantem,1,1,0,0,1,1,0,1,1,1,1,1
Iante,F,1892.0,Iante,Iante,Iante,Iante,Iante,Iante,0,1,0,0,0,0,0,1,1,1,1,1
Iant,F,1892.0,Iant,Iant,Iant,Iant,Iant,Iant,0,1,0,0,0,0,0,1,1,1,1,1
Iantea,F,1892.0,Iantey,Iantee,Ianteu,Ianteo,Iantee,Ianteou,0,1,0,0,0,0,0,1,1,1,1,1
Ianteia,F,1892.0,Ianteie,Ianteie,Ianteiu,Ianteio,Ianteie,Ianteiou,0,1,0,0,0,0,0,1,1,1,1,1
Iapetus,M,,Iapeta,Iapetovi,Iapeta,Iapete,Iapetovi,Iapetem,1,1,0,0,0,0,0,1,1,1,1,1
Iarwain,F,,Iarwain,Iarwain,Iarwain,Iarwain,Iarwain,Iarwain,0,1,0,0,0,0,0,1,1,1,1,1
Iarwain,M,,Iarwaina,Iarwainovi,Iarwaina,Iarwaine,Iarwainovi,Iarwainem,0,1,0,0,0,0,0,1,1,1,1,1
Iaur,M,,Iaura,Iaurovi,Iaura,Iaure,Iaurovi,Iaurem,1,1,0,0,1,1,0,1,1,1,1,1
Ibera,F,,Ibery,Ibere,Iberu,Ibero,Ibere,Iberou,1,1,0,1,1,1,0,1,1,1,1,1
Ibirod,M,,Ibiroda,Ibirodovi,Ibiroda,Ibirode,Ibirodovi,Ibiridem,1,1,1,0,0,1,0,1,1,1,1,1
Ibiska,F,,Ibisky,Ibisce,Ibisku,Ibisko,Ibisce,Ibiskou,0,0,0,1,0,0,0,1,1,1,1,1
Iblion,F,3546.0,Iblion,Iblion,Iblion,Iblion,Iblion,Iblion,1,1,0,0,0,1,0,1,1,1,1,1
Iblion,M,3543.0,Ibliona,Iblionovi,Ibliona,Iblione,Iblionovi,Iblionem,1,1,0,1,1,1,0,1,1,1,1,1
Ibli˘n,F,3546.0,Ibli˘n,Ibli˘n,Ibli˘n,Ibli˘n,Ibli˘n,Ibli˘n,1,1,0,0,0,1,0,1,1,1,1,1
Ibli˘n,M,3543.0,Ibli˘na,Ibli˘novi,Ibli˘na,Ibli˘ne,Ibli˘novi,Ibli˘nem,1,1,0,1,1,1,0,1,1,1,1,1
Ibliona,F,3546.0,Ibliony,Iblione,Iblionu,Ibliono,Iblione,Iblionou,1,1,0,1,1,1,0,1,1,1,1,1
Iblione,F,3546.0,Iblione,Iblione,Iblione,Iblione,Iblione,Iblione,1,1,0,0,0,1,0,1,1,1,1,1
Iblion,F,3546.0,Iblion,Iblion,Iblion,Iblion,Iblion,Iblion,1,1,0,0,0,1,0,1,1,1,1,1
Iblionna,F,3546.0,Iblionny,Iblionne,Iblionnu,Iblionno,Iblionne,Iblionnou,1,1,0,0,0,1,0,1,1,1,1,1
Iblionne,F,3546.0,Iblionne,Iblionne,Iblionne,Iblionne,Iblionne,Iblionne,1,1,0,0,0,1,0,1,1,1,1,1
Iblionn,F,3546.0,Iblionn,Iblionn,Iblionn,Iblionn,Iblionn,Iblionn,1,1,0,0,0,1,0,1,1,1,1,1
Ibrahim,M,,Ibrahima,Ibrahimovi,Ibrahima,Ibrahime,Ibrahimovi,Ibrahimem,1,0,0,1,1,1,0,1,1,1,1,1
Ibrusia,F,3784.0,Ibrusie,Ibrusie,Ibrusiu,Ibrusio,Ibrusie,Ibrusiou,1,1,1,0,0,1,0,1,1,1,1,1
Ibrusie,F,3784.0,Ibrusie,Ibrusii,Ibrusii,Ibrusie,Ibrusii,IbrusiĄ,1,1,1,0,0,1,0,1,1,1,1,1
IbrŁsie,F,3784.0,IbrŁsie,IbrŁsii,IbrŁsii,IbrŁsie,IbrŁsii,IbrŁsiĄ,1,1,1,0,0,1,0,1,1,1,1,1
Ibrussia,F,3784.0,Ibrussie,Ibrussie,Ibrussiu,Ibrussio,Ibrussie,Ibrussiou,1,1,0,0,0,1,0,1,1,1,1,1
Ibrussie,F,3784.0,Ibrussie,Ibrussii,Ibrussii,Ibrussie,Ibrussii,IbrussiĄ,1,1,0,0,0,1,0,1,1,1,1,1
Ibsen,M,,Ibsena,Ibsenovi,Ibsena,Ibsene,Ibsenovi,Ibsenem,1,0,0,0,0,1,0,1,1,1,1,1
Ibun,M,,Ibuna,Ibunovi,Ibuna,Ibune,Ibunovi,Ibunem,1,0,1,1,1,1,0,1,1,1,1,1
Ibuna,F,,Ibuny,Ibune,Ibunu,Ibuno,Ibune,Ibunou,1,0,1,1,1,1,0,1,1,1,1,1
Icaros,M,567.0,Icara,Icarovi,Icara,Icare,Icarovi,Icarem,1,1,0,0,0,0,0,1,1,1,1,1
Icarus,M,567.0,Icara,Icarovi,Icara,Icare,Icarovi,Icarem,1,1,0,0,0,0,0,1,1,1,1,1
Icetop,M,,Icetopa,Icetopovi,Icetopa,Icetope,Icetopovi,Icetopem,1,1,1,0,0,1,0,1,1,1,1,1
Icharid,M,,Icharida,Icharidovi,Icharida,Icharide,Icharidovi,Icharidem,1,1,0,1,0,1,0,1,1,1,1,1
Ichartan,M,3453.0,Ichartana,Ichartanovi,Ichartana,Ichartane,Ichartanovi,Ichartanem,1,1,1,0,0,1,0,1,1,1,1,1
Icharten,M,3453.0,Ichartena,Ichartenovi,Ichartena,Ichartene,Ichartenovi,Ichartenem,1,1,1,0,0,1,0,1,1,1,1,1
Icharyd,M,,Icharyda,Icharydovi,Icharyda,Icharyde,Icharydovi,Icharydem,1,0,1,0,0,1,0,1,1,1,1,1
Ico,M,,Ica,Icovi,Ica,Ico,Icovi,Icem,1,0,0,0,0,1,0,1,1,1,1,1
Ida,F,,Idy,Ide,Idu,Ido,Ide,Idou,1,0,0,1,1,1,1,1,1,1,1,1
Idalberga,F,,Idalbergy,Idalberze,Idalbergu,Idalbergo,Idalberze,Idalbergou,1,1,1,0,0,1,0,1,1,1,1,1
Idarola,F,,Idaroly,Idarole,Idarolu,Idarolo,Idarole,Idarolou,1,1,0,1,1,1,0,1,1,1,1,1
Idarolan,F,2769.0,Idarolan,Idarolan,Idarolan,Idarolan,Idarolan,Idarolan,1,1,1,0,0,1,0,1,1,1,1,1
Idarolan,M,2768.0,Idarolana,Idarolanovi,Idarolana,Idarolane,Idarolanovi,Idarolanem,1,1,1,0,0,1,0,1,1,1,1,1
Idarol n,M,2768.0,Idarol na,Idarol novi,Idarol na,Idarol ne,Idarol novi,Idarol nem,1,1,1,0,0,1,0,1,1,1,1,1
Idarolana,F,2769.0,Idarolany,Idarolane,Idarolanu,Idarolano,Idarolane,Idarolanou,1,1,1,0,0,1,0,1,1,1,1,1
Idas,M,,Idase,Idasovi,Idase,Idasi,Idasovi,Idasem,1,1,1,1,1,1,0,1,1,1,1,1
Idefix,M,,Idefixe,Idefixovi,Idefixe,Idefixi,Idefixovi,Idefixem,1,1,0,0,0,1,0,1,1,1,1,1
Idra,F,2536.0,Idry,Idre,Idru,Idro,Idre,Idrou,1,1,1,1,1,1,1,1,1,1,1,1
Idre,F,2536.0,Idre,Idre,Idre,Idre,Idre,Idre,1,1,1,1,1,1,0,1,1,1,1,1
Idril,F,,Idril,Idril,Idril,Idril,Idril,Idril,1,1,0,1,1,1,0,1,1,1,1,1
Idril,M,,Idrila,Idrilovi,Idrila,Idrile,Idrilovi,Idrilem,1,1,0,1,1,1,0,1,1,1,1,1
Iffirn,F,2567.0,Iffirn,Iffirn,Iffirn,Iffirn,Iffirn,Iffirn,1,1,1,0,0,1,0,1,1,1,1,1
Iffirn,M,2566.0,Iffirna,Iffirnovi,Iffirna,Iffirne,Iffirnovi,Iffirnem,1,1,1,0,0,1,0,1,1,1,1,1
Ifigenie,F,,Ifigenie,Ifigenii,Ifigenii,Ifigenie,Ifigenii,IfigeniĄ,1,1,0,0,0,1,0,1,1,1,1,1
Ifindel,F,3658.0,Ifindel,Ifindel,Ifindel,Ifindel,Ifindel,Ifindel,1,1,0,0,0,1,0,1,1,1,1,1
Ifindel,M,,Ifindela,Ifindelovi,Ifindela,Ifindele,Ifindelovi,Ifindelem,1,1,0,0,0,1,0,1,1,1,1,1
Ifindela,F,3658.0,Ifindely,Ifindele,Ifindelu,Ifindelo,Ifindele,Ifindelou,1,1,0,0,0,1,0,1,1,1,1,1
Ifindella,F,3658.0,Ifindelly,Ifindelle,Ifindellu,Ifindello,Ifindelle,Ifindellou,1,1,0,0,0,1,0,1,1,1,1,1
Ifirn,F,2567.0,Ifirn,Ifirn,Ifirn,Ifirn,Ifirn,Ifirn,1,1,1,0,0,1,0,1,1,1,1,1
Ifirn,M,2566.0,Ifirna,Ifirnovi,Ifirna,Ifirne,Ifirnovi,Ifirnem,1,1,1,1,1,1,0,1,1,1,1,1
Ifis,F,,Ifis,Ifis,Ifis,Ifis,Ifis,Ifis,1,1,0,1,1,1,0,1,1,1,1,1
Ifis,M,,Ifise,Ifisovi,Ifise,Ifisi,Ifisovi,Ifisem,1,1,0,1,1,1,0,1,1,1,1,1
Ifor,M,,Ifora,Iforovi,Ifora,Ifore,Iforovi,Iforem,1,0,0,1,1,1,0,1,1,1,1,1
Ifron,M,,Ifrona,Ifronovi,Ifrona,Ifrone,Ifronovi,Ifronem,1,1,1,0,0,1,0,1,1,1,1,1
Igiarjuk,M,,Igiarjuka,Igiarjukovi,Igiarjuka,Igiarjuku,Igiarjukovi,Igiarjukem,0,0,1,1,0,1,0,1,1,1,1,1
Igino,M,,Igina,Iginovi,Igina,Igino,Iginovi,Iginem,1,1,1,0,0,1,0,1,1,1,1,1
Igjarjuk,M,,Igjarjuka,Igjarjukovi,Igjarjuka,Igjarjuku,Igjarjukovi,Igjarjukem,0,0,1,1,0,1,0,1,1,1,1,1
Iglo,M,,Igla,Iglovi,Igla,Iglo,Iglovi,Iglem,1,0,1,0,0,1,1,1,1,1,1,1
Ign c,M,568.0,Ign ce,Ign covi,Ign ce,Ign ci,Ign covi,Ign cem,1,0,1,1,0,1,0,1,1,1,1,1
Ign cio,M,568.0,Ign cia,Ign ciovi,Ign cia,Ign cio,Ign ciovi,Ign ciem,1,0,0,0,0,1,0,1,1,1,1,1
Ign cius,M,568.0,Ign cia,Ign ciovi,Ign cia,Ign cie,Ign ciovi,Ign ciem,1,0,0,0,0,1,0,1,1,1,1,1
Ignazio,M,568.0,Ignazia,Ignaziovi,Ignazia,Ignazio,Ignaziovi,Ignaziem,1,0,0,0,0,1,0,1,1,1,1,1
Ignazius,M,568.0,Ignazia,Ignaziovi,Ignazia,Ignazie,Ignaziovi,Ignaziem,1,0,0,0,0,1,0,1,1,1,1,1
Ignram,M,,Ignrama,Ignramovi,Ignrama,Ignrame,Ignramovi,Ignramem,1,0,1,0,0,1,0,1,1,1,1,1
Ignstrok,M,,Ignstroka,Ignstrokovi,Ignstroka,Ignstroku,Ignstrokovi,Ignstrokem,1,0,1,0,0,1,0,1,1,1,1,1
Igor,M,,Igora,Igorovi,Igora,Igore,Igorovi,Igorem,1,0,1,1,1,1,1,1,1,1,1,1
Igraine,F,,Igraine,Igraine,Igraine,Igraine,Igraine,Igraine,0,0,1,0,0,1,0,1,1,1,1,1
Igunka,F,3139.0,Igunky,Igunce,Igunku,Igunko,Igunce,Igunkou,1,0,1,0,0,1,0,1,1,1,1,1
Igunko,F,3139.0,Igunko,Igunko,Igunko,Igunko,Igunko,Igunko,1,0,1,0,0,1,0,1,1,1,1,1
Ihana,F,3772.0,Ihany,Ihane,Ihanu,Ihano,Ihane,Ihanou,1,1,1,1,1,1,0,1,1,1,1,1
Ihanna,F,3772.0,Ihanny,Ihanne,Ihannu,Ihanno,Ihanne,Ihannou,1,1,1,0,0,1,0,1,1,1,1,1
Ihsan,M,,Ihsana,Ihsanovi,Ihsana,Ihsane,Ihsanovi,Ihsanem,0,0,0,0,0,1,0,1,1,1,1,1
Iiama,F,3351.0,Iiamy,Iiame,Iiamu,Iiamo,Iiame,Iiamou,0,1,0,0,0,0,0,1,1,1,1,1
Iiara,F,3350.0,Iiary,Iiare,Iiaru,Iiaro,Iiare,Iiarou,0,1,0,0,0,0,0,1,1,1,1,1
Ij cek,M,,Ij cka,Ij ckovi,Ij cka,Ij cku,Ij ckovi,Ij ckem,0,0,0,1,1,0,0,1,1,1,1,1
Ikaia,F,,Ikaie,Ikaie,Ikaiu,Ikaio,Ikaie,Ikaiou,1,1,0,0,0,0,0,1,1,1,1,1
Ikar,M,,Ikara,Ikarovi,Ikara,Ikare,Ikarovi,Ikarem,1,0,0,1,1,1,1,1,1,1,1,1
Ikaros,M,567.0,Ikara,Ikarovi,Ikara,Ikare,Ikarovi,Ikarem,1,1,0,0,0,1,0,1,1,1,1,1
Ikarus,M,567.0,Ikara,Ikarovi,Ikara,Ikare,Ikarovi,Ikarem,1,1,0,0,0,1,0,1,1,1,1,1
Ikelos,M,,Ikela,Ikelovi,Ikela,Ikele,Ikelovi,Ikelem,1,1,0,0,0,1,0,1,1,1,1,1
Ikena,F,,Ikeny,Ikene,Ikenu,Ikeno,Ikene,Ikenou,1,1,0,1,1,1,0,1,1,1,1,1
Iker,M,,Ikera,Ikerovi,Ikera,Ikere,Ikerovi,Ikerem,1,0,1,1,1,1,0,1,1,1,1,1
Ikevan,F,3673.0,Ikevan,Ikevan,Ikevan,Ikevan,Ikevan,Ikevan,1,1,0,0,0,1,0,1,1,1,1,1
Ikevan,M,3672.0,Ikevana,Ikevanovi,Ikevana,Ikevane,Ikevanovi,Ikevanem,1,1,0,0,0,1,0,1,1,1,1,1
Ikevana,F,3673.0,Ikevany,Ikevane,Ikevanu,Ikevano,Ikevane,Ikevanou,1,1,0,0,0,1,0,1,1,1,1,1
Ikevane,F,3673.0,Ikevane,Ikevane,Ikevane,Ikevane,Ikevane,Ikevane,1,1,0,0,0,1,0,1,1,1,1,1
Ikevann,F,3673.0,Ikevann,Ikevann,Ikevann,Ikevann,Ikevann,Ikevann,1,1,0,0,0,1,0,1,1,1,1,1
Ikevanna,F,3673.0,Ikevanny,Ikevanne,Ikevannu,Ikevanno,Ikevanne,Ikevannou,1,1,0,0,0,1,0,1,1,1,1,1
Ikevanne,F,3673.0,Ikevanne,Ikevanne,Ikevanne,Ikevanne,Ikevanne,Ikevanne,1,1,0,0,0,1,0,1,1,1,1,1
Ikewan,F,3673.0,Ikewan,Ikewan,Ikewan,Ikewan,Ikewan,Ikewan,1,1,0,0,0,1,0,1,1,1,1,1
Ikewan,M,3672.0,Ikewana,Ikewanovi,Ikewana,Ikewane,Ikewanovi,Ikewanem,1,1,0,0,0,1,0,1,1,1,1,1
Ikewana,F,3673.0,Ikewany,Ikewane,Ikewanu,Ikewano,Ikewane,Ikewanou,1,1,0,0,0,1,0,1,1,1,1,1
Ikewane,F,3673.0,Ikewane,Ikewane,Ikewane,Ikewane,Ikewane,Ikewane,1,1,0,0,0,1,0,1,1,1,1,1
Ikewann,F,3673.0,Ikewann,Ikewann,Ikewann,Ikewann,Ikewann,Ikewann,1,1,0,0,0,1,0,1,1,1,1,1
Ikewanna,F,3673.0,Ikewanny,Ikewanne,Ikewannu,Ikewanno,Ikewanne,Ikewannou,1,1,0,0,0,1,0,1,1,1,1,1
Ikewanne,F,3673.0,Ikewanne,Ikewanne,Ikewanne,Ikewanne,Ikewanne,Ikewanne,1,1,0,0,0,1,0,1,1,1,1,1
Ikin,F,,Ikin,Ikin,Ikin,Ikin,Ikin,Ikin,1,1,0,0,0,0,0,1,1,1,1,1
Ikin,M,,Ikina,Ikinovi,Ikina,Ikine,Ikinovi,Ikinem,1,1,0,1,1,1,0,1,1,1,1,1
Iknar,M,,Iknara,Iknarovi,Iknara,Iknare,Iknarovi,Iknarem,1,0,1,0,1,1,0,1,1,1,1,1
Ikol,M,,Ikola,Ikolovi,Ikola,Ikole,Ikolovi,Ikolem,1,0,1,1,1,1,1,1,1,1,1,1
Ikola,F,,Ikoly,Ikole,Ikolu,Ikolo,Ikole,Ikolou,1,0,1,1,1,1,1,1,1,1,1,1
Ila,F,569.0,Ily,Ile,Ilu,Ilo,Ile,Ilou,1,0,0,1,1,1,1,1,1,1,1,1
Ilario,M,2984.0,Ilaria,Ilariovi,Ilaria,Ilario,Ilariovi,Ilariem,1,1,0,0,0,1,0,1,1,1,1,1
Il rio,M,2984.0,Il ria,Il riovi,Il ria,Il rie,Il riovi,Il riem,1,1,0,0,0,1,0,1,1,1,1,1
